Año,Periodo,Deuda pública
2007,Marzo,398733
2007,Abril,386028
2007,Mayo,387150
2007,Junio,400011
2007,Julio,380482
2007,Agosto,375911
2007,Septiembre,391299
2007,Octubre,371055
2007,Noviembre,374174
2007,Diciembre,384661
2008,Enero,365203
2008,Febrero,369885
2008,Marzo,380269
2008,Abril,368381
2008,Mayo,373711
2008,Junio,390638
2008,Julio,377534
2008,Agosto,378068
2008,Septiembre,403721
2008,Octubre,387382
2008,Noviembre,406604
2008,Diciembre,440620
2009,Enero,440498
2009,Febrero,457305
2009,Marzo,473710
2009,Abril,486588
2009,Mayo,492602
2009,Junio,511173
2009,Julio,510802
2009,Agosto,513920
2009,Septiembre,533678
2009,Octubre,544493
2009,Noviembre,560265
2009,Diciembre,569535
2010,Enero,561748
2010,Febrero,569094
2010,Marzo,586850
2010,Abril,586075
2010,Mayo,594925
2010,Junio,609031
2010,Julio,608166
2010,Agosto,608043
2010,Septiembre,620541
2010,Octubre,634469
2010,Noviembre,640613
2010,Diciembre,649152
2011,Enero,662069
2011,Febrero,678323
2011,Marzo,691086
2011,Abril,684671
2011,Mayo,692398
2011,Junio,710839
2011,Julio,704199
2011,Agosto,703925
2011,Septiembre,713894
2011,Octubre,711903
2011,Noviembre,723502
2011,Diciembre,743043
2012,Enero,757750
2012,Febrero,770305
2012,Marzo,781571
2012,Abril,775287
2012,Mayo,792135
2012,Junio,810956
2012,Julio,810292
2012,Agosto,807114
2012,Septiembre,823547
2012,Octubre,823458
2012,Noviembre,837071
2012,Diciembre,889909
2013,Enero,906535
2013,Febrero,936558
2013,Marzo,950094
2013,Abril,941753
2013,Mayo,961695
2013,Junio,964433
2013,Julio,968218
2013,Agosto,965624
2013,Septiembre,974960
2013,Octubre,971533
2013,Noviembre,968801
2013,Diciembre,977311
2014,Enero,984244
2014,Febrero,993178
2014,Marzo,1005782
2014,Abril,998207
2014,Mayo,1011815
2014,Junio,1019229
2014,Julio,1012611
2014,Agosto,1016640
2014,Septiembre,1026729
2014,Octubre,1021787
2014,Noviembre,1027579
2014,Diciembre,1039388
2015,Enero,1039930
2015,Febrero,1044720
2015,Marzo,1050632
2015,Abril,1036739
2015,Mayo,1044562
2015,Junio,1055900
2015,Julio,1043141
2015,Agosto,1052409
2015,Septiembre,1065883
2015,Octubre,1060203
2015,Noviembre,1070496
2015,Diciembre,1070078
2016,Enero,1072382
2016,Febrero,1078661
2016,Marzo,1092570
2016,Abril,1078823
2016,Mayo,1084677
2016,Junio,1102743
2016,Julio,1098690
2016,Agosto,1099473
2016,Septiembre,1104372
2016,Octubre,1101809
2016,Noviembre,1096414
2016,Diciembre,1104553
2017,Enero,1112249
2017,Febrero,1115796
2017,Marzo,1126082
2017,Abril,1114486
2017,Mayo,1124835
2017,Junio,1135146
2017,Julio,1130651
2017,Agosto,1129768
2017,Septiembre,1136975
2017,Octubre,1130353
2017,Noviembre,1139304
2017,Diciembre,1145097
2018,Enero,1146043
2018,Febrero,1158473
2018,Marzo,1162129
2018,Abril,1152517
2018,Mayo,1157336
2018,Junio,1165971
2018,Julio,1162780
2018,Agosto,1165122
2018,Septiembre,1177748
2018,Octubre,1163097
2018,Noviembre,1172052
2018,Diciembre,1173350
2019,Enero,1174325
2019,Febrero,1184665
2019,Marzo,1196667
2019,Abril,1180001
2019,Mayo,1192203
2019,Junio,1207433
2019,Julio,1193769
2019,Agosto,1196150
2019,Septiembre,1203820
2019,Octubre,1190976
2019,Noviembre,1187984
2019,Diciembre,1188859
2020,Enero,1195877
2020,Febrero,1201767
2020,Marzo,1224568
2020,Abril,1235502
2020,Mayo,1258626
2020,Junio,1291061
2020,Julio,1290872
2020,Agosto,1298409
2020,Septiembre,1308085
2020,Octubre,1306028
2020,Noviembre,1312590
2020,Diciembre,1345569
2021,Enero,1348369
2021,Febrero,1366969
2021,Marzo,1392696
2021,Abril,1389665
2021,Mayo,1402504
2021,Junio,1424714
2021,Julio,1416172
2021,Agosto,1419415
2021,Septiembre,1432338
2021,Octubre,1421804
2021,Noviembre,1426308
2021,Diciembre,1427235
2022,Enero,1425092
2022,Febrero,1441569
2022,Marzo,1453855
2022,Abril,1445427
2022,Mayo,1456492
2022,Junio,1475367
2022,Julio,1487002
2022,Agosto,1491447
2022,Septiembre,1504056
2022,Octubre,1497153
2022,Noviembre,1505537
2022,Diciembre,1502505
2023,Enero,1489796
2023,Febrero,1520005